title,author,authorLink,tags,category,promptName,promptContent
"Prompt Rewriter","Alg0rix","https://github.com/Alg0rix","prompt-engineering,ai,clarity,optimization","AI Tools","Prompt Rewriter","Given a user prompt, rewrite it for maximum clarity, specificity, and effectiveness for large language models. Remove ambiguity, add necessary context, and suggest improvements. Explain your changes."
"Accessibility Auditor","Alg0rix","https://github.com/Alg0rix","accessibility,a11y,web,design","Web","Accessibility Auditor","Review the provided website or component for accessibility (a11y) compliance. Identify issues related to color contrast, keyboard navigation, ARIA usage, and screen reader support. Suggest concrete fixes and best practices."
"Unit Test Generator","Alg0rix","https://github.com/Alg0rix","testing,unit-tests,automation,quality","Development","Unit Test Generator","Given a function or class, generate comprehensive unit tests in the specified language and framework. Cover edge cases, invalid inputs, and expected outputs. Explain your test strategy."
"Refactoring Advisor","Alg0rix","https://github.com/Alg0rix","refactoring,code-quality,maintainability","Development","Refactoring Advisor","Analyze the provided code for opportunities to refactor. Focus on improving readability, reducing complexity, and enhancing maintainability. Suggest specific refactoring steps and explain the benefits."
"Productivity Coach","Alg0rix","https://github.com/Alg0rix","productivity,habits,focus,time-management","Personal Development","Productivity Coach","Act as a Productivity Coach. Ask about my current workflow and goals. Identify bottlenecks, distractions, and inefficiencies. Suggest actionable strategies and tools to improve focus and output."
"Technical Documentation Writer","Alg0rix","https://github.com/Alg0rix","documentation,writing,developer-experience","Development","Technical Documentation Writer","Given a codebase, API, or feature, write clear and concise technical documentation. Include usage examples, parameter explanations, and common pitfalls. Ensure the documentation is accessible to both beginners and advanced users."
"Brainstorming Partner","Alg0rix","https://github.com/Alg0rix","brainstorming,ideas,creativity,innovation","Creativity","Brainstorming Partner","Help me brainstorm ideas for a project, product, or problem. Ask clarifying questions to understand the context. Generate a list of creative, actionable ideas and briefly explain the rationale behind each."
"SQL Query Generator","Alg0rix","https://github.com/Alg0rix","sql,database,query,data","Data Science","SQL Query Generator","Generate a SQL query based on the following requirements:
- Database schema: [Provide table names and relevant columns]
- Desired outcome: [Describe the data you want to retrieve or manipulate]
- Specific conditions: [e.g., WHERE clauses, JOINs, aggregations]
Optimize the query for performance if possible."
"Learning Path Creator","Alg0rix","https://github.com/Alg0rix","learning,education,skills,career","Personal Development","Learning Path Creator","Create a structured learning path for acquiring the skill '[Skill Name]'. Include key topics, recommended resources (books, courses, articles), project ideas for practice, and estimated timelines. Tailor it for a [Beginner/Intermediate/Advanced] level."
"Marketing Copy Generator","Alg0rix","https://github.com/Alg0rix","marketing,copywriting,advertising,sales","Marketing","Marketing Copy Generator","Write compelling marketing copy for [Product/Service].
- Target Audience: [Specify audience]
- Key Benefit: [Highlight the main value proposition]
- Call to Action: [What should the reader do?]
- Tone: [e.g., persuasive, informative, urgent]
- Format: [e.g., ad copy, email subject line, social media post]"
"System Design Interviewer","Alg0rix","https://github.com/Alg0rix","system-design,interview,architecture,scalability","Development","System Design Interviewer","Act as a System Design Interviewer. Pose a challenging system design problem (e.g., 'Design Twitter', 'Design a URL Shortener'). Guide the candidate through requirements gathering, high-level design, deep dives into specific components, and trade-off discussions."
"Code Explainer","Alg0rix","https://github.com/Alg0rix","code,explanation,learning,understanding","Development","Code Explainer","Explain the provided code snippet line-by-line or section-by-section. Describe its purpose, logic, and any complex concepts involved. Use clear language suitable for someone learning the language or concept."
"Meeting Summarizer","Alg0rix","https://github.com/Alg0rix","meetings,summary,productivity,notes","Productivity","Meeting Summarizer","Summarize the provided meeting transcript or notes. Identify key decisions, action items (with owners if possible), and main discussion points. Format the summary for clarity and quick reading."
"Ethical Dilemma Analyst","Alg0rix","https://github.com/Alg0rix","ethics,philosophy,decision-making,critical-thinking","Philosophy","Ethical Dilemma Analyst","Analyze the following ethical dilemma: [Describe the scenario]. Explore different ethical frameworks (e.g., utilitarianism, deontology) and perspectives. Discuss potential actions and their consequences. Avoid taking a definitive stance, focus on analysis."
"Creative Writer's Block Breaker","Alg0rix","https://github.com/Alg0rix","writing,creativity,inspiration,ideas","Content Creation","Creative Writer's Block Breaker","Help me overcome writer's block for my [Story/Article/Poem] about [Topic]. Provide writing prompts, 'what if' scenarios, character development questions, or alternative plot points to spark inspiration."
"Cloud Architecture Advisor","Alg0rix","https://github.com/Alg0rix","cloud,aws,azure,gcp,architecture","Development","Cloud Architecture Advisor","Advise on the best cloud architecture for the following application requirements:
- Application Type: [e.g., web app, data processing, microservices]
- Key Requirements: [e.g., scalability, availability, cost constraints, specific services needed]
- Preferred Cloud Provider (if any): [AWS/Azure/GCP/Other]
Suggest specific services and design patterns."
"Negotiation Coach","Alg0rix","https://github.com/Alg0rix","negotiation,communication,career,business","Career","Negotiation Coach","Act as a Negotiation Coach. Help me prepare for a negotiation scenario: [Describe the situation, e.g., salary negotiation, business deal]. Identify my goals, potential counterparty goals, BATNA (Best Alternative To a Negotiated Agreement), and key talking points. Suggest strategies and practice responses."
"Photorealistic Portrait","Alg0rix","https://github.com/Alg0rix","image,portrait,photorealistic,photography","Image Generation","Photorealistic Portrait","Generate a photorealistic portrait of a [Age] [Gender] with [Hair Color/Style], [Eye Color], wearing [Clothing Style]. The lighting should be [Lighting Type, e.g., soft studio lighting, golden hour sunlight]. Background: [Describe background, e.g., blurred cityscape, plain studio backdrop]. Camera angle: [e.g., eye-level, slightly low angle]. Aspect ratio: [e.g., 3:4]."
"Fantasy Landscape","Alg0rix","https://github.com/Alg0rix","image,landscape,fantasy,art,concept","Image Generation","Fantasy Landscape","Create a breathtaking fantasy landscape featuring [Main Subject, e.g., floating islands, ancient ruins, bioluminescent forest]. Atmosphere: [e.g., mystical, epic, serene]. Time of day: [e.g., dawn, twilight, stormy]. Key elements: [List 2-3 specific elements, e.g., waterfalls, giant trees, mythical creatures]. Style: [e.g., digital painting, oil painting, concept art]. Aspect ratio: [e.g., 16:9]."
"Cyberpunk Cityscape","Alg0rix","https://github.com/Alg0rix","image,cityscape,cyberpunk,sci-fi,neon","Image Generation","Cyberpunk Cityscape","Generate a detailed cyberpunk cityscape at night. Features: towering skyscrapers with holographic advertisements, flying vehicles, rain-slicked streets reflecting neon lights. Mood: gritty, futuristic, dystopian. Color palette: dominated by blues, purples, and bright neon contrasts. Style: cinematic, highly detailed. Aspect ratio: [e.g., 16:9]."
"Abstract Art Generation","Alg0rix","https://github.com/Alg0rix","image,abstract,art,colors,shapes","Image Generation","Abstract Art Generation","Create an abstract artwork exploring the theme of [Theme, e.g., chaos and order, growth, connection]. Use [Color Palette, e.g., warm colors, contrasting blues and oranges]. Incorporate shapes like [List shapes, e.g., swirling lines, geometric forms, organic blobs]. Texture: [e.g., rough, smooth, layered]. Style: [e.g., expressionist, minimalist, geometric abstract]."
"Product Mockup","Alg0rix","https://github.com/Alg0rix","image,product,mockup,design,marketing","Image Generation","Product Mockup","Generate a realistic mockup image of a [Product Type, e.g., smartphone app, cosmetic bottle, book cover] displayed in a [Context, e.g., user's hand, clean studio setting, lifestyle environment]. Lighting: [e.g., bright and clean, natural window light]. Focus: Sharp focus on the product. Background: [e.g., minimalist, slightly blurred relevant scene]. Aspect ratio: [e.g., 1:1, 4:3]."
"Character Concept Art","Alg0rix","https://github.com/Alg0rix","image,character,concept-art,fantasy,sci-fi","Image Generation","Character Concept Art","Generate concept art for a [Role, e.g., space pirate, forest druid, steampunk inventor]. Key features: [Describe appearance, clothing, key props]. Pose: [e.g., dynamic action pose, neutral standing pose]. Setting: Simple or no background, focus on character. Style: [e.g., detailed illustration, sketchy concept art]. Aspect ratio: [e.g., 2:3]."
"Isometric Room Design","Alg0rix","https://github.com/Alg0rix","image,isometric,room,design,interior","Image Generation","Isometric Room Design","Create an isometric view of a [Room Type, e.g., cozy living room, futuristic lab, artist's studio]. Include key furniture: [List 2-4 items]. Style: [e.g., low-poly, detailed pixel art, cartoonish]. Color scheme: [Describe color palette]. Lighting: [e.g., warm ambient, bright overhead]."
"Food Photography","Alg0rix","https://github.com/Alg0rix","image,food,photography,realistic,delicious","Image Generation","Food Photography","Generate a delicious-looking, photorealistic image of [Dish Name, e.g., steaming ramen bowl, stack of pancakes with syrup, gourmet burger]. Plating: [Describe arrangement, e.g., rustic wooden board, clean white plate]. Lighting: [e.g., natural backlight, soft overhead light]. Angle: [e.g., top-down, 45-degree angle]. Focus: Shallow depth of field, focus on the main dish. Style: Magazine food photography."
"Surreal Scene","Alg0rix","https://github.com/Alg0rix","image,surreal,dreamlike,art,imagination","Image Generation","Surreal Scene","Create a surreal, dreamlike scene combining [Element 1, e.g., a clock melting over] with [Element 2, e.g., a desert landscape under] and [Element 3, e.g., a sky filled with floating fish]. Mood: [e.g., mysterious, whimsical, unsettling]. Style: Inspired by [Artist Name, e.g., Salvador Dalí, René Magritte] or [Art Style, e.g., digital painting]. Color Palette: [Describe colors]."
"Wildlife Photography","Alg0rix","https://github.com/Alg0rix","image,wildlife,photography,nature,animal","Image Generation","Wildlife Photography","Generate a realistic wildlife photograph of a [Animal Name] in its natural habitat [Habitat Description, e.g., snowy forest, African savanna, dense jungle]. Action: [e.g., stalking prey, resting, interacting with young]. Lighting: [e.g., dramatic morning light, overcast day]. Composition: [e.g., close-up portrait, animal integrated into landscape]. Style: National Geographic quality."
"Historical Figure Dialogue","Alg0rix","https://github.com/Alg0rix","history,dialogue,writing,education","Content Creation","Historical Figure Dialogue","Write a short dialogue between [Historical Figure 1] and [Historical Figure 2] discussing [Topic]. Capture their likely perspectives, language style, and the historical context of their time. Ensure the conversation is engaging and informative."
"Fitness Plan Generator","Alg0rix","https://github.com/Alg0rix","fitness,health,workout,planning","Personal Development","Fitness Plan Generator","Create a personalized [Duration, e.g., 4-week] fitness plan for someone with the following profile:
- Goal: [e.g., weight loss, muscle gain, improve endurance]
- Fitness Level: [Beginner/Intermediate/Advanced]
- Time Commitment: [e.g., 3 days/week, 45 minutes/session]
- Available Equipment: [e.g., dumbbells, resistance bands, bodyweight only]
- Preferences/Limitations: [e.g., enjoys running, dislikes burpees, knee issues]
Include specific exercises, sets, reps, and rest periods."
"Recipe Generator","Alg0rix","https://github.com/Alg0rix","recipe,cooking,food,ideas","Lifestyle","Recipe Generator","Generate a recipe for a [Dish Type, e.g., quick weeknight dinner, vegan dessert, pasta dish] using the following main ingredients: [List 2-4 key ingredients]. Specify approximate prep time, cook time, difficulty level, and step-by-step instructions."
"Business Strategy Consultant","Alg0rix","https://github.com/Alg0rix","business,strategy,marketing,finance","Business","Business Strategy Consultant","Act as a Business Strategy Consultant. Analyze the following business idea or challenge: [Describe the business concept or problem]. Provide insights on:
- Target Market Analysis
- Competitive Landscape
- Potential Revenue Streams
- Key Marketing Strategies
- Potential Risks and Mitigation Strategies"
"Language Learning Tutor","Alg0rix","https://github.com/Alg0rix","language,learning,education,practice","Education","Language Learning Tutor","Act as a [Language] tutor. Help me practice [Specific Skill, e.g., basic conversation, verb conjugation, understanding grammar rules]. Ask me questions, correct my mistakes, explain concepts clearly, and provide practice exercises. Adjust the difficulty based on my responses."
"Travel Itinerary Planner","Alg0rix","https://github.com/Alg0rix","travel,planning,itinerary,tourism","Lifestyle","Travel Itinerary Planner","Create a [Number]-day travel itinerary for a trip to [Destination].
- Interests: [e.g., history, food, adventure, relaxation]
- Budget: [e.g., budget-friendly, mid-range, luxury]
- Pace: [e.g., relaxed, moderate, fast-paced]
Suggest daily activities, potential accommodations, transportation methods, and dining options."
"Poetry Generator","Alg0rix","https://github.com/Alg0rix","poetry,writing,creativity,literature","Content Creation","Poetry Generator","Write a poem about [Theme or Subject] in the style of [Poetic Form or Style, e.g., haiku, sonnet, free verse, specific poet's style]. Evoke [Desired Mood or Emotion, e.g., melancholy, joy, wonder]. Use vivid imagery and figurative language."
"Financial Advisor Bot","Alg0rix","https://github.com/Alg0rix","finance,investing,budgeting,advice","Finance","Financial Advisor Bot","Act as a basic Financial Advisor Bot (Disclaimer: Not real financial advice). Given the following financial situation: [Describe income, expenses, savings goals, risk tolerance], provide general information and educational resources on topics like:
- Budgeting strategies
- Debt management options
- Basic investment concepts (e.g., stocks, bonds, ETFs)
- Retirement savings plans (e.g., 401k, IRA)"
"Story Plot Generator","Alg0rix","https://github.com/Alg0rix","writing,story,plot,ideas,fiction","Content Creation","Story Plot Generator","Generate a basic plot outline for a story in the [Genre] genre. Include:
- Protagonist: [Brief description]
- Inciting Incident: [What kicks off the story?]
- Main Conflict/Goal: [What drives the plot?]
- Key Turning Points: [Suggest 2-3 major plot points]
- Potential Climax/Resolution: [Suggest an ending direction]"
"Tech Trend Analyst","Alg0rix","https://github.com/Alg0rix","technology,trends,analysis,future","Technology","Tech Trend Analyst","Analyze the current state and future potential of the technology trend: [Specify Trend, e.g., AI in healthcare, Quantum Computing, Metaverse]. Discuss key players, potential applications, societal impact, and challenges. Provide a balanced overview."
"Mindfulness Guide","Alg0rix","https://github.com/Alg0rix","mindfulness,meditation,wellbeing,stress","Personal Development","Mindfulness Guide","Guide me through a short mindfulness or meditation exercise focused on [Goal, e.g., reducing stress, improving focus, body scan]. Use calming language and provide clear, step-by-step instructions. Duration: [e.g., 5 minutes, 10 minutes]."
"Logo Design Ideas","Alg0rix","https://github.com/Alg0rix","logo,design,branding,ideas,visual","Design","Logo Design Ideas","Generate 3-5 distinct logo concept ideas for a company named '[Company Name]' in the '[Industry]' industry. Describe the visual elements, style (e.g., minimalist, vintage, modern), and potential color palettes for each concept. Focus on conveying the brand's essence: [Describe brand values, e.g., trustworthy, innovative, playful]."
"Presentation Outline Creator","Alg0rix","https://github.com/Alg0rix","presentation,outline,structure,communication","Productivity","Presentation Outline Creator","Create a logical outline for a presentation on the topic: '[Topic Name]'.
- Objective: [What should the audience know or do after?]
- Audience: [Who is the presentation for?]
- Duration: [Approximate length]
Structure the outline with clear sections (Introduction, Key Points, Conclusion) and suggest content for each slide or sub-point."
"Code Simplifier","Alg0rix","https://github.com/Alg0rix","code,refactoring,simplicity,readability","Development","Code Simplifier","Analyze the provided code snippet and suggest ways to simplify it without changing its core functionality. Focus on improving readability, reducing nesting, and using more idiomatic language constructs. Explain the reasoning behind the suggested simplifications."
"Debate Topic Arguer","Alg0rix","https://github.com/Alg0rix","debate,argument,critical-thinking,persuasion","Communication","Debate Topic Arguer","Take the [Pro/Con] side of the debate topic: '[Debate Topic]'. Present 3-4 key arguments supporting your assigned stance, using logical reasoning and potential (hypothetical) evidence. Structure the arguments clearly."
"Ambient Code Scaffolder","Alg0rix","https://github.com/Alg0rix","coding,vibe,scaffolding,mood,flow","Vibe Coding","Ambient Code Scaffolder","Generate boilerplate code for a [Language/Framework] project focused on [Project Goal, e.g., simple web server, data visualization script]. Prioritize clean structure and readability to establish a calm and focused coding environment. Include comments suggesting where to add core logic."
"Lo-Fi Function Generator","Alg0rix","https://github.com/Alg0rix","coding,vibe,function,lofi,chill","Vibe Coding","Lo-Fi Function Generator","Create a simple, elegant function in [Language] to accomplish [Specific Task, e.g., calculate average, format a string, fetch data from an endpoint]. Focus on clarity and a smooth, easy-to-understand flow, like a good lo-fi beat. Add minimal, thoughtful comments."
"Code Aesthetic Refiner","Alg0rix","https://github.com/Alg0rix","coding,vibe,aesthetic,style,refactor","Vibe Coding","Code Aesthetic Refiner","Analyze the provided [Language] code snippet. Suggest minor refactoring changes to improve its aesthetic appeal and 'feel'. Focus on consistent formatting, elegant variable names, and logical flow that feels intuitive and pleasant to read."
"Zen Debugging Assistant","Alg0rix","https://github.com/Alg0rix","coding,vibe,debugging,zen,calm","Vibe Coding","Zen Debugging Assistant","I'm encountering an error: [Describe Error Message or Behavior]. Guide me through debugging the issue in a calm, step-by-step manner. Ask gentle questions to help me trace the problem without causing stress. Focus on understanding, not just fixing."
"Flow State Setup","Alg0rix","https://github.com/Alg0rix","coding,vibe,flow,focus,setup","Vibe Coding","Flow State Setup","Help me set up my coding environment for achieving a flow state. Suggest:
- Terminal theme ideas (e.g., calming colors)
- Minimalist VS Code extensions
- Focus techniques (e.g., Pomodoro timer)
- Music genre suggestions (e.g., ambient, instrumental)
Tailor suggestions for working on a [Project Type] project."
"Creative Coding Prompt","Alg0rix","https://github.com/Alg0rix","coding,vibe,creative,generative,art","Vibe Coding","Creative Coding Prompt","Generate a creative coding prompt for [Platform, e.g., p5.js, Processing, GLSL]. Theme: [Abstract Theme, e.g., 'Growth', 'Flowing Water', 'Digital Bloom']. Suggest visual elements, color palettes, and interaction ideas to explore. Encourage experimentation and aesthetic focus."
"Code Snippet Mood Board","Alg0rix","https://github.com/Alg0rix","coding,vibe,mood,inspiration,snippet","Vibe Coding","Code Snippet Mood Board","Generate 3 short code snippets in [Language] that evoke a feeling of [Mood, e.g., 'elegance', 'efficiency', 'playfulness']. The snippets don't need to be complex, just capture the essence of the mood through structure, naming, and style."
"Pair Programming Vibe Check","Alg0rix","https://github.com/Alg0rix","coding,vibe,pair-programming,communication","Vibe Coding","Pair Programming Vibe Check","Act as a facilitator for a pair programming session. Provide gentle reminders for:
- Taking breaks
- Communicating clearly and kindly
- Switching roles (driver/navigator)
- Celebrating small wins
Help maintain a positive and collaborative atmosphere."
"Algorithmic Sketchpad","Alg0rix","https://github.com/Alg0rix","coding,vibe,algorithm,sketch,pseudocode","Vibe Coding","Algorithmic Sketchpad","Help me sketch out an algorithm for [Problem Description] in pseudocode or simple [Language]. Don't worry about perfect syntax or optimization yet. Focus on capturing the core logic and flow in an intuitive, easy-to-visualize way."
"Sunset Refactoring","Alg0rix","https://github.com/Alg0rix","coding,vibe,refactoring,calm,evening","Vibe Coding","Sunset Refactoring","It's the end of the day. Suggest 1-2 small, satisfying refactoring tasks I can do on my [Language] codebase to leave it slightly better than I found it. Focus on tasks that improve clarity or remove minor clutter, providing a sense of calm closure."
"Multi-Agent System Designer","Alg0rix","https://github.com/Alg0rix","ai,multi-agent,system-design,collaboration,complex","Advanced AI","Multi-Agent System Designer","Design a multi-agent system architecture for [Complex Problem, e.g., optimizing city traffic flow, managing a distributed energy grid]. Specify:
- Agent Roles & Responsibilities: Define distinct agent types (e.g., sensor agent, decision agent, actuator agent).
- Communication Protocol: How will agents exchange information (e.g., message queues, shared blackboard)?
- Coordination Mechanism: How will agents coordinate actions (e.g., contract nets, voting, hierarchical control)?
- Knowledge Representation: How will agents store and reason about their environment and goals?
- Evaluation Metrics: How will the system's performance be measured?"
